Country,EdLevel,YearsCodePro,Salary
15,0,9.0,74483.0
13,0,19.0,92141.0
13,2,4.0,61919.0
15,1,10.0,126621.0
16,3,3.0,110000.0
9,0,5.0,46049.0
2,0,2.0,74351.0
16,2,4.0,138000.0
16,0,4.0,94000.0
16,1,7.0,150000.0
16,1,13.0,250000.0
5,2,6.0,107090.0
16,0,7.0,162000.0
16,2,18.0,170000.0
5,1,2.0,49261.0
5,2,20.0,182052.0
8,0,7.0,46049.0
15,0,4.0,37241.0
15,1,6.0,105517.0
11,0,2.0,31104.0
16,3,3.0,60000.0
5,1,6.0,77104.0
2,0,10.0,96657.0
16,0,17.0,200000.0
16,0,2.0,146000.0
6,0,2.0,36351.0
16,0,4.0,100000.0
16,3,26.0,168000.0
16,0,19.0,125000.0
5,0,5.0,51403.0
5,0,5.0,51938.0
5,0,12.0,88884.0
16,0,6.0,140000.0
13,2,4.0,71317.0
2,0,5.0,72864.0
5,0,5.0,58899.0
16,0,12.0,130000.0
15,0,15.0,130345.0
16,2,27.0,204000.0
12,3,18.0,112444.0
15,2,8.0,99311.0
15,0,14.0,72000.0
12,0,10.0,73892.0
16,0,22.0,120000.0
5,2,10.0,107090.0
16,1,27.0,135000.0
14,0,3.0,99195.0
16,0,3.0,125000.0
5,2,7.0,77104.0
7,0,25.0,173731.0
15,0,2.0,55862.0
8,0,23.0,44978.0
5,1,9.0,70679.0
5,1,13.0,80317.0
16,2,15.0,200000.0
16,0,27.0,126000.0
8,0,4.0,34269.0
16,0,17.0,150000.0
2,1,4.0,75467.0
0,2,4.0,93868.0
16,2,3.0,66950.0
5,0,6.0,62112.0
2,0,32.0,96657.0
15,0,2.0,45931.0
16,0,5.0,65000.0
16,2,33.0,190000.0
5,2,8.0,74963.0
16,0,25.0,225000.0
5,2,18.0,97451.0
16,0,0.5,75000.0
9,1,13.0,85672.0
8,0,4.0,41122.0
2,0,12.0,84389.0
16,0,8.0,130000.0
15,3,9.0,81931.0
16,0,12.0,220000.0
15,0,12.0,95586.0
16,0,2.0,100000.0
11,3,22.0,71779.0
5,2,5.0,74963.0
15,0,23.0,86897.0
15,0,6.0,74483.0
15,0,6.0,46924.0
5,1,0.5,41229.0
9,0,4.0,44978.0
3,3,7.0,89722.0
5,1,34.0,52474.0
16,0,24.0,170000.0
16,0,4.0,120000.0
16,0,7.0,135000.0
16,0,33.0,215000.0
4,1,1.0,42836.0
2,0,0.5,59481.0
16,1,7.0,130000.0
13,1,0.5,43359.0
2,0,6.0,148703.0
13,1,15.0,64499.0
2,0,11.0,178443.0
11,2,16.0,63404.0
3,1,10.0,194109.0
16,0,23.0,132000.0
16,3,15.0,90000.0
2,3,5.0,85504.0
5,2,2.0,54616.0
16,0,13.0,250000.0
16,2,17.0,200000.0
5,2,14.0,99593.0
15,1,9.0,59586.0
8,1,5.0,26772.0
9,2,15.0,107090.0
5,2,25.0,74963.0
16,2,12.0,120000.0
5,1,3.0,43693.0
5,2,25.0,85672.0
16,3,32.0,200000.0
16,2,25.0,200000.0
4,2,16.0,107091.0
5,1,4.0,64254.0
2,0,30.0,100374.0
8,0,15.0,53545.0
16,0,11.0,100000.0
16,0,23.0,160000.0
3,0,1.0,54638.0
16,0,11.0,90000.0
16,0,13.0,216000.0
16,0,6.0,152000.0
14,3,10.0,146588.0
16,2,28.0,135000.0
8,0,9.0,93168.0
16,2,7.0,240000.0
5,1,28.0,88349.0
16,0,18.0,230000.0
16,1,3.0,60000.0
16,0,6.0,112140.0
16,3,14.0,150000.0
16,2,3.0,140000.0
16,1,36.0,140000.0
16,3,11.0,45000.0
1,0,5.0,40575.0
5,2,7.0,53545.0
16,0,44.0,100000.0
8,2,14.0,69608.0
16,0,7.0,126000.0
12,0,3.0,35340.0
16,0,1.0,91000.0
8,0,2.0,39088.0
4,2,4.0,53545.0
7,0,3.0,81787.0
16,0,7.0,132000.0
16,2,10.0,190000.0
16,2,5.0,200000.0
9,1,37.0,70679.0
5,3,13.0,92097.0
15,2,7.0,186207.0
8,2,2.0,34804.0
16,2,20.0,165000.0
16,0,6.0,150000.0
2,3,1.0,47585.0
16,0,9.0,93000.0
16,0,24.0,250000.0
16,2,20.0,185000.0
5,2,15.0,48190.0
16,0,0.5,75000.0
5,0,6.0,59970.0
16,3,8.0,170000.0
5,2,9.0,107090.0
2,0,10.0,89222.0
16,0,24.0,125000.0
7,1,3.0,66820.0
5,2,3.0,59970.0
16,0,1.0,200000.0
12,0,3.0,29985.0
9,2,10.0,77104.0
12,0,5.0,53545.0
16,1,7.0,98000.0
16,0,10.0,100000.0
10,0,6.0,86082.0
16,1,11.0,164000.0
10,0,37.0,67960.0
16,2,42.0,180000.0
16,0,10.0,155000.0
9,1,24.0,74963.0
11,2,7.0,36368.0
9,0,3.0,34954.0
16,0,12.0,68000.0
16,0,7.0,104000.0
15,1,15.0,117931.0
5,2,20.0,182052.0
16,2,6.0,75000.0
16,0,9.0,186000.0
16,0,5.0,90000.0
2,2,28.0,148703.0
12,0,11.0,38552.0
2,2,4.0,48328.0
5,3,2.0,62112.0
10,2,12.0,113266.0
15,0,14.0,186207.0
10,0,4.0,54368.0
2,0,12.0,92939.0
5,1,2.0,53545.0
16,0,14.0,225000.0
5,2,19.0,72821.0
16,0,8.0,92000.0
16,0,16.0,145000.0
16,0,6.0,108000.0
16,0,9.0,162000.0
15,0,21.0,79448.0
16,1,25.0,160000.0
12,0,8.0,37267.0
13,2,2.0,46071.0
2,1,40.0,115245.0
5,0,5.0,74963.0
11,2,10.0,98097.0
2,0,23.0,89222.0
15,2,8.0,83793.0
5,0,10.0,61041.0
7,1,6.0,113861.0
16,2,14.0,225000.0
5,0,20.0,78175.0
14,0,1.0,66130.0
5,3,38.0,81388.0
12,0,20.0,42836.0
16,0,15.0,180000.0
16,0,23.0,135000.0
6,0,10.0,29081.0
16,1,30.0,168000.0
16,0,15.0,191000.0
1,2,10.0,44633.0
8,0,8.0,53545.0
9,0,6.0,117798.0
9,2,4.0,42836.0
12,1,1.0,26772.0
16,1,15.0,150000.0
5,0,10.0,192761.0
16,0,5.0,100000.0
5,2,7.0,58899.0
5,2,6.0,88431.0
16,1,3.0,102000.0
16,2,12.0,115000.0
16,0,1.0,67000.0
0,1,15.0,118987.0
12,3,5.0,34269.0
6,1,8.0,54526.0
5,0,3.0,64254.0
16,0,9.0,55000.0
7,1,7.0,141155.0
6,0,3.0,19387.0
9,2,14.0,117798.0
16,0,3.0,110000.0
16,1,20.0,165000.0
5,0,11.0,96381.0
0,1,2.0,68087.0
5,0,4.0,51510.0
11,2,12.0,45938.0
16,1,7.0,154000.0
14,2,7.0,99195.0
4,2,9.0,58899.0
16,3,22.0,250000.0
16,3,13.0,120000.0
11,2,6.0,28711.0
15,3,20.0,60828.0
6,0,2.0,30292.0
16,0,1.0,72275.0
5,2,5.0,94239.0
16,0,3.0,130000.0
16,2,8.0,150000.0
5,1,8.0,66396.0
16,0,8.0,210000.0
8,3,13.0,40694.0
5,1,23.0,65325.0
16,3,15.0,95613.0
2,0,13.0,95170.0
16,2,16.0,97000.0
15,0,0.5,32897.0
6,0,2.0,16964.0
14,2,2.0,124544.0
16,0,1.0,46000.0
16,1,10.0,143000.0
15,0,6.0,74483.0
15,0,20.0,180000.0
9,0,0.5,44442.0
16,0,36.0,156000.0
5,2,15.0,102806.0
14,0,12.0,131157.0
16,0,19.0,140000.0
16,2,10.0,103000.0
1,2,1.0,15216.0
5,3,24.0,87813.0
16,2,2.0,90000.0
4,3,4.0,96381.0
16,0,8.0,112000.0
7,1,26.0,76976.0
6,2,8.0,30656.0
15,0,1.0,21724.0
13,0,6.0,110570.0
16,3,6.0,150000.0
16,0,6.0,75000.0
16,2,8.0,190000.0
16,1,1.0,110250.0
16,0,8.0,130000.0
12,0,13.0,42836.0
16,1,2.0,65000.0
16,0,9.0,114500.0
16,0,18.0,114000.0
16,0,6.0,225000.0
16,0,3.0,150000.0
16,0,6.0,62000.0
0,0,7.0,105766.0
5,2,10.0,106019.0
16,0,10.0,130000.0
16,0,14.0,212000.0
16,3,34.0,130000.0
5,0,15.0,89955.0
16,3,24.0,215000.0
1,1,4.0,10225.0
16,0,15.0,132000.0
9,1,5.0,42836.0
2,0,20.0,92939.0
16,3,20.0,165000.0
14,2,10.0,93684.0
15,0,10.0,64552.0
12,1,5.0,139216.0
16,1,25.0,250000.0
15,2,5.0,64552.0
16,2,3.0,125000.0
16,0,23.0,230000.0
15,0,9.0,54124.0
16,0,16.0,140000.0
16,0,18.0,105000.0
16,0,12.0,110000.0
16,1,9.0,200000.0
16,0,10.0,135000.0
16,0,15.0,154000.0
16,1,24.0,180000.0
16,0,3.0,65000.0
5,2,15.0,165989.0
16,0,5.0,146000.0
16,2,2.0,132000.0
16,0,3.0,163116.0
5,0,2.0,155280.0
16,1,25.0,130000.0
16,0,10.0,130000.0
13,3,31.0,61735.0
16,0,7.0,190000.0
8,2,2.0,35340.0
12,3,9.0,38552.0
16,3,25.0,120000.0
16,2,0.5,80000.0
2,0,9.0,237925.0
16,3,13.0,90000.0
4,0,13.0,85672.0
4,0,1.0,40694.0
5,1,2.0,14136.0
16,2,22.0,120000.0
16,0,13.0,85000.0
6,0,8.0,24234.0
16,3,6.0,65000.0
16,2,3.0,96000.0
16,1,18.0,170000.0
16,0,8.0,109000.0
16,0,19.0,114000.0
3,0,7.0,103525.0
5,2,8.0,95096.0
16,2,3.0,137000.0
12,2,2.0,30521.0
5,2,5.0,58899.0
11,2,11.0,53116.0
10,0,15.0,90613.0
16,0,17.0,120000.0
5,2,8.0,74963.0
5,1,8.0,80317.0
6,0,3.0,72701.0
16,1,3.0,62000.0
16,3,9.0,83500.0
16,0,13.0,175000.0
16,0,6.0,150000.0
16,2,3.0,120000.0
15,0,1.0,43448.0
15,2,6.0,74483.0
15,2,1.0,52138.0
4,2,21.0,88129.0
5,2,7.0,101735.0
12,2,22.0,65325.0
2,0,16.0,115988.0
2,2,5.0,83274.0
5,0,5.0,85672.0
13,2,5.0,49756.0
12,2,5.0,53545.0
4,0,12.0,58899.0
16,0,6.0,218000.0
1,3,22.0,107524.0
2,0,8.0,131602.0
16,0,12.0,250000.0
5,0,15.0,107090.0
4,0,3.0,34269.0
16,1,12.0,109203.0
16,0,8.0,100000.0
11,0,4.0,12346.0
6,0,0.5,10905.0
16,0,3.0,75000.0
15,2,21.0,96517.0
16,3,5.0,150000.0
5,0,19.0,160634.0
16,0,4.0,105000.0
16,0,27.0,110000.0
15,2,29.0,99311.0
5,0,8.0,74963.0
5,2,6.0,53545.0
2,0,19.0,111527.0
16,0,1.0,100000.0
16,0,3.0,150000.0
3,2,5.0,86271.0
16,0,7.0,150000.0
15,2,11.0,105517.0
16,0,7.0,200000.0
16,0,25.0,180000.0
5,2,0.5,89955.0
10,2,2.0,60711.0
4,3,42.0,139216.0
16,0,5.0,85000.0
16,2,5.0,140000.0
5,1,6.0,42836.0
16,0,9.0,194250.0
11,1,6.0,23926.0
13,2,25.0,53073.0
1,0,6.0,50719.0
16,0,10.0,220000.0
16,1,5.0,141140.0
15,2,5.0,53379.0
12,3,12.0,53545.0
7,0,13.0,187095.0
2,0,2.0,60225.0
7,0,9.0,112257.0
6,0,8.0,14540.0
6,0,8.0,29686.0
2,2,7.0,74351.0
2,0,6.0,74351.0
16,2,8.0,210000.0
4,0,35.0,85672.0
5,0,13.0,107090.0
5,2,11.0,85672.0
16,0,8.0,110000.0
6,0,2.0,27869.0
10,2,1.0,59805.0
16,0,11.0,175000.0
16,3,23.0,130000.0
16,0,14.0,172000.0
3,1,0.5,43135.0
